,real,predicted
0,267.299988,268.5440381637377
1,264.149994,271.09982755962557
2,264.950012,274.4261421518982
3,260.950012,277.9552855015052
4,258.75,280.71845530990663
5,254.699997,281.89267730795984
6,251.85000599999998,280.9884384875012
7,255.0,278.0243306093014
8,257.5,273.8773876009399
9,250.25,269.8004000314105
10,248.550003,266.178507954343
11,248.699997,263.1844992028887
12,251.14999400000002,260.81802364972594
13,257.350006,259.2348529401821
14,269.549988,258.92414995509927
15,269.049988,261.04098472804554
16,257.399994,265.71521948255844
17,255.600006,270.99013266980535
18,258.899994,274.803929531777
19,260.299988,276.4796038796562
20,261.600006,276.45386952152734
21,259.649994,275.6393333208323
22,267.100006,274.67186150611406
23,266.700012,274.4098612314493
24,262.049988,275.2487662937195
25,265.549988,276.65428240034345
26,269.950012,278.2128391591871
27,277.5,279.87240765027826
28,275.549988,281.9719461335433
29,267.200012,284.301798368879
30,262.649994,285.81032193348295
31,266.450012,285.5898817718781
32,260.200012,283.89638594333536
33,251.449997,281.083393017087
34,252.699997,277.3948717107416
35,250.199997,273.2399107867182
36,240.25,269.61661820036477
37,240.899994,266.92329879259887
38,233.300003,265.1084838471628
39,225.550003,263.50374529461567
40,223.449997,261.4124698161376
41,229.25,258.536313921094
42,227.550003,255.15534445393806
43,223.25,251.64006614626174
44,216.550003,248.1595904943407
45,212.75,244.65821224132722
46,184.25,241.09244557389323
47,188.75,237.3994426378328
48,182.74999999999997,233.58305483368224
49,183.399994,229.52262828645888
50,184.300003,225.15090353770617
51,185.5,220.5429828978819
52,179.199997,215.87011363992278
53,174.800003,211.19927512042824
54,170.550003,206.48607119503444
55,170.649994,201.6298752715475
56,170.550003,196.63268307569984
57,165.399994,191.63897464670097
58,168.850006,186.83281191745374
59,175.350006,182.48146457881126
60,177.300003,179.05419077338937
61,178.649994,177.16984054190698
62,178.75,177.20674396159117
63,190.0,178.99423146958563
64,189.649994,182.54261431550805
65,192.850006,187.4790594210786
66,195.100006,192.85738271272515
67,195.399994,197.86957786429826
68,185.949997,201.9477558667207
69,179.800003,204.4361107404912
70,176.800003,204.88098251516584
71,179.949997,203.33100387569849
72,179.39999400000002,200.45635352813724
73,184.300003,197.08252665833953
74,183.300003,194.01794974524054
75,184.149994,191.755952184808
76,182.25,190.41867589314077
77,181.699997,189.76862950807785
78,180.0,189.48131502806996
79,174.350006,189.21866701786044
80,177.300003,188.5880877118719
81,171.949997,187.56368519468074
82,175.399994,186.21685042713705
83,175.699997,184.98601284120028
84,169.199997,184.21272163897578
85,162.399994,183.57895617436174
86,162.449997,182.58557493785386
87,156.850006,180.95380655608838
88,158.199997,178.64067290035342
89,163.899994,175.94061354164901
90,166.44999699999997,173.50537298254733
91,166.899994,172.00098092033687
92,173.75000000000003,171.70247987240765
93,174.399994,172.89863734715166
94,173.649994,175.57627105091515
95,175.94999700000002,179.20481554709082
96,175.899994,183.1023278516287
97,172.300003,186.51109742811028
98,170.899994,188.68867929133359
99,168.800003,189.27993929911975
100,170.800003,188.35061385607693
101,172.600006,186.45619746410196
102,173.600006,184.40749746791604
103,168.55000299999998,182.84046762789254
104,166.199997,181.4209114156771
105,170.75000000000003,179.57286938743238
106,175.25,177.44251969987695
107,179.350006,175.92538300316457
108,183.10000599999998,176.24592456598106
109,185.550003,179.01007473088268
110,180.300003,183.76897027172987
111,182.30000299999998,188.85887618230586
112,185.39999399999996,192.9470503197566
113,185.30000299999998,195.67469971139374
114,184.800003,197.26270217797403
115,183.10000599999998,198.06918545027497
116,181.399994,198.26329603730446
117,180.449997,197.85987933749323
118,180.25,196.9071828957415
119,175.350006,195.51717742945914
120,173.199997,193.29504186457729
121,171.949997,190.02611314029548
122,173.449997,186.01370655521336
123,174.300003,181.98251563933377
124,181.25,178.74089684612755
125,181.75,177.3467598774517
126,180.300003,178.35691221265856
127,175.550003,181.32420624948386
128,178.199997,184.7155744980878
129,182.899994,187.45055905710998
130,151.300003,189.54081916635576
131,152.449997,190.26332440059934
132,151.44999700000002,189.15718466020826
133,159.64999400000002,186.2797683068073
134,161.100006,182.4361055843133
135,162.99999999999997,178.60424215255324
136,163.5,175.54633516492848
137,164.850006,173.5868651166222
138,169.699997,172.691712100156
139,174.55000299999998,172.74375852649425
140,175.550003,173.73542413912688
141,182.699997,175.57494056709353
142,177.19999699999997,178.27692562606606
143,177.850006,181.3558577593458
144,180.10000599999998,184.2366178286669
145,194.0,186.56158578786795
146,188.550003,188.4447455864573
147,189.199997,189.90232562578564
148,181.649994,191.01116134655211
149,182.149994,191.52453553167467
150,184.75,191.34579553405825
151,181.600006,190.8234405831397
152,179.699997,190.25731971703593
153,180.19999699999997,189.70933544618492
154,182.30000299999998,189.06534626378362
155,182.800003,188.41375931850615
156,179.850006,187.84361198820537
157,175.399994,187.22885843714778
158,171.350006,186.277807593807
159,173.100006,184.8254094388366
160,169.899994,183.01588141595488
161,170.600006,181.07284984539214
162,187.14999400000002,179.31584092073265
163,202.800003,179.0820784145454
164,201.100006,181.63557447647753
165,206.100006,186.80930086781626
166,205.75,193.45981178206657
167,200.649994,200.0888949042422
168,206.0,205.3047766250873
169,215.649994,208.75552646741454
170,218.199997,210.90999992742007
171,215.850006,212.48497765764122
172,231.050003,213.94626904657727
173,230.550003,215.71920876436417
174,235.899994,217.95911329081122
175,234.649994,220.70540696231728
176,231.399994,223.82784241529112
177,223.699997,227.01501641000692
178,221.699997,229.58575624252205
179,215.399994,231.16132918918973
180,214.199997,231.55371687837427
181,207.149994,230.95041249072915
182,209.5,229.48138328798836
183,200.100006,227.34553660148566
184,190.899994,224.6009235411227
185,185.550003,221.35258230334406
186,185.800003,217.76587802208547
187,186.0,214.10480669774418
188,180.25,210.6263267715556
189,184.350006,207.38285230354552
190,169.600006,204.43639084234837
191,175.5,201.62570875642186
192,176.699997,198.92734751522664
193,190.0,196.36213969439095
194,176.600006,194.40128664316478
195,179.449997,192.96695505798283
196,175.0,191.82245886952344
197,182.149994,190.61620022155466
198,181.350006,189.4771660193104
199,180.75,188.85362427248361
200,176.30000300000003,188.97676405144875
201,175.050003,189.4173642728013
202,172.5,189.55055270589295
203,174.55000299999998,188.8467617769826
204,173.39999400000002,187.33442182457452
205,169.800003,185.28274574615602
206,169.399994,182.8698082974327
207,166.149994,180.31548943629508
208,170.649994,177.87380653447812
209,168.99999999999997,176.04643952456686
210,167.399994,175.05806510875615
211,164.100006,174.7432481276459
212,158.850006,174.53541254961434
213,158.300003,173.91335884390386
214,154.649994,172.63376602845076
215,159.149994,170.77788114820484
216,159.0,168.82826718399826
217,159.25,167.2422254304183
218,160.5,166.18191735640917
219,161.100006,165.64151334206824
220,165.850006,165.61591903486791
221,162.600006,166.40181482066575
222,167.850006,167.84192350665217
223,163.699997,169.93550982545202
224,162.350006,172.30261560779337
225,165.19999700000002,174.34616873235348
226,160.149994,175.89255856677565
227,154.649994,176.5630698937792
228,155.75,175.79345502843026
229,151.399994,173.54154113485637
230,156.899994,170.1576305982
231,159.300003,166.5770010259691
232,160.949997,163.86647286035245
233,169.850006,162.79811185794924
234,167.850006,164.06769103200796
235,160.80000299999998,167.43619596651916
236,154.80000299999998,171.42540661655312
237,156.699997,174.2091639114577
238,156.199997,174.971776230377
239,151.25,173.87197379450473
240,144.350006,171.3624537241507
241,147.199997,167.92630419112925
242,137.600006,164.31904743609968
243,133.449997,160.8950823338658
244,135.600006,157.73240849847068
245,129.5,154.85365290806504
246,130.600006,152.19574887886705
247,123.75,149.7371460742395
248,122.550003,147.39905709366593
249,117.40000199999999,145.08338501485022
250,123.949997,142.72313297482685
251,122.05000299999999,140.46969602740452
252,122.0,138.42679063838915
253,120.849998,136.59144072554813
254,121.199997,134.8268778039277
255,120.75,133.01319201910334
256,123.800003,131.10567211212188
257,112.300003,129.33692516900973
258,107.650002,127.67309387777955
259,111.150002,125.89094581143767
260,110.50000000000001,123.96824788507001
261,120.300003,122.0614457390976
262,116.349998,120.89809519437642
263,114.349998,120.85854831341506
264,116.75,121.69200889583618
265,112.650002,122.94571854904876
266,109.5,123.97744748044194
267,118.050003,124.21001080055312
268,121.099998,123.9278869580862
269,121.90000199999999,123.90603026004271
270,134.350006,124.77990428854586
271,127.949997,126.86322312364327
272,129.550003,129.61715832394066
